City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Nuevo Progreso,MX,76.46,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
125,Guerrero Negro,MX,69.64,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
132,Srivardhan,IN,81.99,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
133,Faanui,PF,78.53,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Woodbridge,US,72.3,clear sky,40.5576,-74.2846,Hampton Inn Woodbridge
136,Katsuura,JP,71.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
138,Kotido,UG,78.78,clear sky,2.9806,34.1331,Loware Joseph Mukasa's Residence
140,Kabale,UG,70.21,few clouds,-1.2486,29.9899,Kings Hotel Kabale
141,Coahuayana,MX,74.41,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
142,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
143,Chiredzi,ZW,86.79,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
144,Zihuatanejo,MX,77.18,overcast clouds,17.6333,-101.55,La Casa Que Canta
145,Kamaishi,JP,64.96,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
150,Cervo,ES,63.97,clear sky,43.6702,-7.4101,Hotel Spa Galatea
151,Oktyabrskiy,RU,60.98,overcast clouds,54.4815,53.471,Гостиница Октябрьская
154,Am Timan,TD,78.94,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
155,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
157,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Alofi,NU,76.44,clear sky,-19.0595,-169.9187,Taloa Heights
160,Hilo,US,74.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
161,Langsa,ID,87.91,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
163,Sao Filipe,CV,78.33,broken clouds,14.8961,-24.4956,Hotel Xaguate
164,Zaysan,KZ,73.51,clear sky,47.4667,84.8667,Ерлан үй
167,Zyukayka,RU,64.4,overcast clouds,58.2025,54.7003,"Gostinitsa ""Novinka"""
168,Kathmandu,NP,82.62,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
171,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
172,Petropavl,KZ,76.98,clear sky,54.8753,69.1628,Отель GREENWICH
173,Ishigaki,JP,79.5,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
176,Ilhabela,BR,65.16,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
178,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
179,Shingu,JP,75.07,overcast clouds,33.7333,135.9833,Shingu UI Hotel
182,Kenitra,MA,65.16,clear sky,34.261,-6.5802,Bienvenue chez vous
183,Westport,US,69.78,clear sky,41.1415,-73.3579,The Westport Inn
185,Dongsheng,CN,60.3,clear sky,39.8161,109.9776,Crowne Plaza Ordos
187,Williamsburg,US,73.74,clear sky,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
188,Lorengau,PG,83.53,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
191,Gamboma,CG,77.81,light rain,-1.8764,15.8644,Residence N'Keni
194,Aswan,EG,88.47,clear sky,24.0934,32.907,Nuba Nile
195,Pacific Grove,US,62.71,overcast clouds,36.6177,-121.9166,Lovers Point Inn
197,Altay,CN,73.47,clear sky,47.8667,88.1167,Jinqiao Hotel
198,Les Cayes,HT,78.96,broken clouds,18.2,-73.75,Villa Orphee
199,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
201,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le four à pain
204,Fare,PF,78.33,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
206,Roebourne,AU,83.97,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
208,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
211,Emerald,AU,87.35,clear sky,-23.5333,148.1667,The Irish Village
214,Mehriz,IR,86.5,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
215,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
216,Atuona,PF,77.14,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
219,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
224,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
226,Sinnamary,GF,76.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
228,Garut,ID,77.65,overcast clouds,-7.2024,107.8878,favehotel
229,Roma,US,63.52,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
230,Shache,CN,82.58,clear sky,38.4167,77.2406,Delong Hotel
231,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
232,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
234,Baculin,PH,84.38,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
235,Buta,CD,80.17,clear sky,2.7858,24.73,Hôtel BOPANDO
236,Le Vauclin,MQ,77.05,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
237,Breves,BR,72.46,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
238,Metlaltoyuca,MX,69.31,overcast clouds,20.7333,-97.85,"Hotel ""Doña Yuya"""
240,Carnarvon,AU,70.02,clear sky,-24.8667,113.6333,Hospitality Carnarvon
241,Krasnyy Yar,RU,78.73,light rain,46.5331,48.3456,Cottege near Ufa
242,Kuntaur,GM,74.1,overcast clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
243,Bagotville,AU,69.69,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
245,Havelock,US,74.93,clear sky,34.8791,-76.9013,Sherwood Motel
246,Camargo,MX,73.63,few clouds,27.6667,-105.1667,Hotel Santa Fe
247,Sainte-Maxime,FR,71.01,clear sky,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
248,Emirdag,TR,66.42,overcast clouds,39.0197,31.15,Emirdağ Öğretmenevi
249,Omboue,GA,76.87,overcast clouds,-1.5746,9.2618,Hotel Olako
250,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
253,Mount Isa,AU,85.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
256,Inhambane,MZ,80.58,few clouds,-23.865,35.3833,Oceano
257,Carauari,BR,72.28,few clouds,-4.8828,-66.8958,Hotel Fellip
258,Toumodi,CI,72.16,light rain,6.5613,-5.0158,Hotel Akanza
264,Naze,JP,77.83,overcast clouds,28.3667,129.4833,Shishime Hotel
266,Placido De Castro,BR,78.64,overcast clouds,-10.3353,-67.1856,Hotel Carioca
268,Yamada,JP,64.15,light rain,39.4667,141.95,Iroha-ya Inn
271,Gaziantep,TR,76.93,scattered clouds,37.0594,37.3825,Novotel Gaziantep
272,Natal,BR,72.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
273,Trairi,BR,76.91,clear sky,-3.2778,-39.2689,janelas do mar
274,Sao Jose Da Coroa Grande,BR,74.17,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
275,Hovd,MN,64.58,clear sky,48.0056,91.6419,Hotel Khovd
276,Alenquer,BR,74.73,few clouds,-1.9417,-54.7383,Detinha Hotel
277,Karratha,AU,83.8,clear sky,-20.7377,116.8463,ibis Styles Karratha
278,Pauini,BR,76.23,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
281,Tabou,CI,75.0,light rain,4.423,-7.3528,hotêl doufoulougou
282,Pringsewu,ID,89.98,broken clouds,-5.3582,104.9744,Urban Style by Front One
283,Houma,US,75.0,mist,29.5958,-90.7195,Courtyard by Marriott Houma
287,Half Moon Bay,US,62.82,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
289,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
290,Capaci,IT,79.75,clear sky,38.1711,13.2393,Hotel Sirenetta
292,Narathiwat,TH,84.06,overcast clouds,6.3333,101.75,MUSOR
293,Kendari,ID,82.58,scattered clouds,-3.945,122.4989,Hotel Wixel
294,Paita,PE,64.15,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
297,Meulaboh,ID,85.01,overcast clouds,4.1363,96.1285,Kost Pria
299,Tanete,ID,82.87,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
300,Jalu,LY,84.07,clear sky,29.0331,21.5482,صاحبة الفخامة
301,Iquitos,PE,73.44,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
303,Asha,RU,73.71,overcast clouds,54.9973,57.2722,Hotel Tortuga
304,Miandrivazo,MG,87.49,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
308,Matay,EG,81.64,clear sky,28.419,30.7792,Nag Aespen
312,Morro Bay,US,64.2,broken clouds,35.3658,-120.8499,Inn at Morro Bay
313,Iracoubo,GF,76.26,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
314,Boshan,CN,64.87,overcast clouds,36.4833,117.8333,Tianfu Hotel
315,Vanimo,PG,80.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
316,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Alize Plage
320,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
324,Jacksonville Beach,US,76.05,clear sky,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
326,Crotone,IT,73.35,clear sky,39.0851,17.1178,Helios Hotel
328,Itarema,BR,77.18,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
331,Hambantota,LK,87.21,overcast clouds,6.1241,81.1185,Bungalow 63
332,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
335,Kattivakkam,IN,89.69,overcast clouds,13.2167,80.3167,Euronova Freezer
338,Sillod,IN,80.17,broken clouds,20.3,75.65,पवन
339,Nago,JP,84.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
341,Santa Rosa,PH,82.38,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
342,Kashi,CN,78.01,few clouds,39.4547,75.9797,帕米尔青年旅舍
344,Minot,US,70.02,broken clouds,48.2325,-101.2963,Noble Inn
345,Lincoln,US,81.97,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
347,Sitangkai,PH,84.38,broken clouds,4.6628,119.3928,Ama House
349,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
350,Samarai,PG,80.6,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
351,Bowen,AU,77.0,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
352,Manta,EC,70.41,overcast clouds,-0.95,-80.7333,Balandra Hotel
355,Morgan City,US,73.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
356,Gizo,SB,83.19,light rain,-8.103,156.8419,Imagination Island
357,Faya,SA,79.32,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
361,Kralendijk,BQ,78.78,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
362,Geraldton,AU,68.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
363,Hamilton,US,69.04,fog,39.1834,-84.5333,Six Acres Bed & Breakfast
365,Iberia,US,77.07,clear sky,29.9502,-91.7507,back to back rv park
366,Meadow Lake,US,72.88,few clouds,34.8014,-106.5436,TumbleWeed RV Park
368,Namibe,AO,65.21,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
371,Jimma,ET,68.27,light rain,7.6667,36.8333,Jimma Central Hotel - ጂማ ሴንትራል ሆቴል
376,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
377,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
