City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Moerai,PF,-22.4333,-151.3333,73.72,81,2,16.55,clear sky
80,Torbay,CA,47.6666,-52.7314,49.26,93,100,1.99,overcast clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,80.51,88,91,4.0,overcast clouds
82,Jamestown,US,42.097,-79.2353,65.79,74,75,6.91,broken clouds
83,Port Hardy,CA,50.6996,-127.4199,52.29,81,30,3.13,scattered clouds
84,Nikolskoye,RU,59.7035,30.7861,51.69,88,100,8.93,overcast clouds
85,Paamiut,GL,61.994,-49.6678,40.03,92,100,14.76,overcast clouds
86,Bengkulu,ID,-3.8004,102.2655,81.01,79,89,7.14,overcast clouds
87,Roshchino,RU,60.2519,29.6085,52.12,73,100,10.71,overcast clouds
88,Tecalitlan,MX,19.4667,-103.3,64.78,98,100,2.91,overcast clouds
89,Chokurdakh,RU,70.6333,147.9167,41.43,47,100,13.09,overcast clouds
90,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,4.61,clear sky
91,Provideniya,RU,64.3833,-173.3,40.68,69,30,3.76,scattered clouds
92,Saint-Augustin,CA,51.226,-58.6502,40.57,66,7,5.55,clear sky
93,Sorong,ID,-0.8833,131.25,83.37,73,100,3.13,light rain
94,Dingle,PH,10.9995,122.6711,85.46,73,100,11.61,heavy intensity rain
95,Anshun,CN,26.25,105.9333,78.03,62,58,6.78,broken clouds
96,Honningsvag,NO,70.9821,25.9704,42.55,70,75,14.97,broken clouds
97,Puerto El Triunfo,SV,13.2833,-88.55,75.51,92,100,6.69,light rain
98,Vila Velha,BR,-20.3297,-40.2925,69.75,84,75,5.75,broken clouds
99,Clyde River,CA,70.4692,-68.5914,32.23,93,100,9.22,light snow
100,Corsicana,US,32.0954,-96.4689,79.75,76,0,5.75,clear sky
101,Ottersberg,DE,53.1,9.15,51.13,87,64,3.29,light rain
102,Chuy,UY,-33.6971,-53.4616,56.5,95,73,6.49,broken clouds
103,Klaksvik,FO,62.2266,-6.589,52.72,98,93,16.24,overcast clouds
104,Padang,ID,-0.9492,100.3543,86.05,79,98,3.91,overcast clouds
105,Bluff,NZ,-46.6,168.3333,46.8,86,83,6.44,broken clouds
106,Vaini,TO,-21.2,-175.2,75.36,83,75,10.36,broken clouds
107,Talnakh,RU,69.4865,88.3972,34.21,67,6,12.48,clear sky
108,Kirkenaer,NO,60.4564,12.0582,44.4,69,11,6.38,few clouds
109,Melilla,ES,35.2937,-2.9383,73.78,94,75,2.3,broken clouds
110,Sioux Lookout,CA,50.1001,-91.917,57.83,95,100,4.45,overcast clouds
111,Vestmannaeyjar,IS,63.4427,-20.2734,52.75,92,86,8.23,overcast clouds
112,Abalak,RU,58.1286,68.5944,72.75,59,50,6.78,scattered clouds
113,Esperance,AU,-33.8667,121.9,62.92,67,13,12.8,few clouds
114,Ancud,CL,-41.8697,-73.8203,42.22,91,14,2.82,few clouds
115,Saint Anthony,US,45.0205,-93.218,69.73,75,40,9.22,scattered clouds
116,Uray,RU,60.1247,64.7758,68.41,67,100,10.6,overcast clouds
117,Kavieng,PG,-2.5744,150.7967,82.99,72,47,10.58,scattered clouds
118,Mahon,ES,39.8885,4.2658,68.56,83,20,3.44,few clouds
119,Brookings,US,44.3114,-96.7984,70.38,95,0,6.93,clear sky
120,Hit,IQ,33.6416,42.8251,99.61,11,2,10.22,clear sky
121,Ponta Do Sol,PT,32.6667,-17.1,70.72,79,18,2.35,few clouds
122,Ilulissat,GL,69.2167,-51.1,35.62,93,100,1.14,overcast clouds
